material,group_label,support,recall,miss_count,common_confusions,failure_status,physics_hypothesis,next_action
Magnetite,high_absorption,30,0.5333333333333333,14,Hematite:13;Pyrite:1,fail,iron_oxide_pair_similarity_current_spectral_features_insufficient,prioritize_hm_expert_features_energy_response_and_pairwise_validation
Hematite,high_absorption,30,0.5666666666666667,13,Magnetite:13,fail,iron_oxide_pair_similarity_current_spectral_features_insufficient,prioritize_hm_expert_features_energy_response_and_pairwise_validation
Albite,low_absorption,30,0.9,3,Quartz:3,pass,low_absorption_silicate_carbonate_overlap,monitor_no_immediate_change
Quartz,low_absorption,30,0.9,3,Albite:3,pass,low_absorption_silicate_carbonate_overlap,monitor_no_immediate_change
Pyrite,high_absorption,30,0.9333333333333333,2,Chalcopyrite:2,pass,high_absorption_sulfide_oxide_overlap,monitor_no_immediate_change
Calcite,low_absorption,30,1.0,0,,pass,low_absorption_silicate_carbonate_overlap,monitor_no_immediate_change
Chalcopyrite,high_absorption,30,1.0,0,,pass,high_absorption_sulfide_oxide_overlap,monitor_no_immediate_change
Dolomite,low_absorption,30,1.0,0,,pass,low_absorption_silicate_carbonate_overlap,monitor_no_immediate_change
Galena,high_absorption,30,1.0,0,,pass,high_absorption_sulfide_oxide_overlap,monitor_no_immediate_change
Orthoclase,low_absorption,30,1.0,0,,pass,low_absorption_silicate_carbonate_overlap,monitor_no_immediate_change
