method,samples,top1_accuracy,top3_accuracy,macro_f1,hematite_recall,magnetite_recall,hm_min_recall,min_class_recall,feature_count,feature_mode,ablation_type,ablation_value
ExtraTrees,120,0.6083333333333333,1.0,0.6050143567476713,0.7,0.5166666666666667,0.5166666666666667,0.5166666666666667,184,thickness_aware,source_plus_global,mono_120kev_normal_narrow
ExtraTrees,120,0.5833333333333334,1.0,0.5757918552036199,0.7166666666666667,0.45,0.45,0.45,184,thickness_aware,source_plus_global,mono_120kev_normal_wide
ExtraTrees,120,0.5583333333333333,1.0,0.5545906576090762,0.65,0.4666666666666667,0.4666666666666667,0.4666666666666667,185,thickness_aware,source_plus_global,mono_120kev_oblique_10deg
ExtraTrees,120,0.6,1.0,0.5885714285714285,0.7666666666666667,0.43333333333333335,0.43333333333333335,0.43333333333333335,180,thickness_aware,source_plus_global,mono_150kev_normal_narrow
ExtraTrees,120,0.5583333333333333,1.0,0.5469762803618492,0.7166666666666667,0.4,0.4,0.4,180,thickness_aware,source_plus_global,mono_150kev_normal_wide
ExtraTrees,120,0.6,1.0,0.594480428048437,0.7166666666666667,0.48333333333333334,0.48333333333333334,0.48333333333333334,178,thickness_aware,source_plus_global,mono_150kev_oblique_10deg
ExtraTrees,120,0.6416666666666667,1.0,0.6414425682718365,0.6666666666666666,0.6166666666666667,0.6166666666666667,0.6166666666666667,179,thickness_aware,source_plus_global,mono_200kev_normal_narrow
ExtraTrees,120,0.6833333333333333,1.0,0.6825396825396826,0.7333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,178,thickness_aware,source_plus_global,mono_200kev_normal_wide
ExtraTrees,120,0.6166666666666667,1.0,0.613986013986014,0.7,0.5333333333333333,0.5333333333333333,0.5333333333333333,181,thickness_aware,source_plus_global,mono_200kev_oblique_10deg
ExtraTrees,120,0.5833333333333334,1.0,0.5832175604334537,0.5666666666666667,0.6,0.5666666666666667,0.5666666666666667,132,thickness_aware,source_plus_global,mono_50kev_normal_narrow
ExtraTrees,120,0.625,1.0,0.6247654784240151,0.65,0.6,0.6,0.6,133,thickness_aware,source_plus_global,mono_50kev_normal_wide
ExtraTrees,120,0.575,1.0,0.5725958516656191,0.5,0.65,0.5,0.5,133,thickness_aware,source_plus_global,mono_50kev_oblique_10deg
ExtraTrees,120,0.5583333333333333,1.0,0.5583026599069381,0.5666666666666667,0.55,0.55,0.55,143,thickness_aware,source_plus_global,mono_70kev_normal_narrow
ExtraTrees,120,0.6,1.0,0.5998888580161156,0.6166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,143,thickness_aware,source_plus_global,mono_70kev_normal_wide
ExtraTrees,120,0.5916666666666667,1.0,0.5868175110673881,0.7,0.48333333333333334,0.48333333333333334,0.48333333333333334,144,thickness_aware,source_plus_global,mono_70kev_oblique_10deg
ExtraTrees,120,0.6166666666666667,1.0,0.6162402669632925,0.65,0.5833333333333334,0.5833333333333334,0.5833333333333334,161,thickness_aware,source_plus_global,mono_90kev_normal_narrow
ExtraTrees,120,0.6166666666666667,1.0,0.607843137254902,0.7666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,161,thickness_aware,source_plus_global,mono_90kev_normal_wide
ExtraTrees,120,0.55,1.0,0.5396419437340154,0.7,0.4,0.4,0.4,161,thickness_aware,source_plus_global,mono_90kev_oblique_10deg
