photons_per_sample,source_subset,source_count,table_mode,method,feature_count,validation_top1_accuracy,validation_top3_accuracy,validation_macro_f1,validation_min_class_recall
500,mono_60kev;mono_100kev;spectrum_120kv,3,multi_source_fused,ExtraTrees,178,0.71,0.985,0.7078206110202045,0.4
500,mono_100kev;spectrum_120kv,2,multi_source_fused,ExtraTrees,136,0.6766666666666666,0.9816666666666667,0.6728453672190586,0.35
500,mono_60kev;spectrum_120kv,2,multi_source_fused,ExtraTrees,118,0.67,0.955,0.6682586628351536,0.3
500,mono_60kev;mono_100kev,2,multi_source_fused,ExtraTrees,115,0.6683333333333333,0.9816666666666667,0.6636060755581149,0.3333333333333333
500,spectrum_120kv,1,single_source,ExtraTrees,77,0.6116666666666667,0.9433333333333334,0.6087103212006532,0.23333333333333334
500,mono_60kev,1,single_source,ExtraTrees,55,0.545,0.91,0.5271277699663127,0.15
500,mono_100kev,1,single_source,ExtraTrees,73,0.4583333333333333,0.88,0.4557217360703529,0.21666666666666667
500,spectrum_120kv,1,single_source,PhysicsOnly,77,0.4033333333333333,0.7866666666666666,0.39199027013267773,0.15
500,mono_60kev;spectrum_120kv,2,multi_source_fused,PhysicsOnly,118,0.38333333333333336,0.7983333333333333,0.363246085695465,0.05
500,mono_60kev;mono_100kev;spectrum_120kv,3,multi_source_fused,PhysicsOnly,178,0.375,0.8266666666666667,0.3649993684410812,0.11666666666666667
500,mono_100kev;spectrum_120kv,2,multi_source_fused,PhysicsOnly,136,0.365,0.8283333333333334,0.352829121743999,0.06666666666666667
500,mono_60kev;mono_100kev,2,multi_source_fused,PhysicsOnly,115,0.315,0.75,0.2999973537398588,0.05
500,mono_100kev,1,single_source,PhysicsOnly,73,0.31,0.6983333333333334,0.293827113124237,0.05
500,mono_60kev,1,single_source,PhysicsOnly,55,0.30666666666666664,0.7083333333333334,0.24318003167811048,0.0
