split,true_material,predicted_material,count,mean_score_margin,review_reason
validation,Quartz,Albite,115,0.20056593148030918,validation_confusion_pair
validation,Magnetite,Hematite,103,0.06355412096179187,validation_confusion_pair
validation,Quartz,Orthoclase,87,0.2079125847170586,validation_confusion_pair
validation,Hematite,Chalcopyrite,85,0.20829412424928548,validation_confusion_pair
validation,Magnetite,Chalcopyrite,85,0.21949788209073573,validation_confusion_pair
validation,Orthoclase,Dolomite,84,0.20438538730768568,validation_confusion_pair
validation,Chalcopyrite,Pyrite,80,0.2363654882642468,validation_confusion_pair
validation,Dolomite,Orthoclase,78,0.28600560598607644,validation_confusion_pair
validation,Pyrite,Chalcopyrite,70,0.21120717542553086,validation_confusion_pair
validation,Hematite,Magnetite,69,0.08088324080923853,validation_confusion_pair
validation,Albite,Quartz,66,0.09122936522813607,validation_confusion_pair
validation,Dolomite,Calcite,62,0.3645835340843302,validation_confusion_pair
validation,Albite,Orthoclase,59,0.22401351357458565,validation_confusion_pair
validation,Chalcopyrite,Magnetite,50,0.10381971085811921,validation_confusion_pair
validation,Calcite,Dolomite,46,0.2142699840531745,validation_confusion_pair
validation,Chalcopyrite,Hematite,42,0.04980352400237681,validation_confusion_pair
validation,Hematite,Pyrite,42,0.18259682545535483,validation_confusion_pair
validation,Magnetite,Pyrite,36,0.19070753887594952,validation_confusion_pair
validation,Pyrite,Hematite,31,0.07295831864552493,validation_confusion_pair
validation,Quartz,Dolomite,27,0.17031278953309772,validation_confusion_pair
validation,Orthoclase,Albite,24,0.17826639460024515,validation_confusion_pair
validation,Orthoclase,Calcite,21,0.2570620924102875,validation_confusion_pair
validation,Pyrite,Magnetite,20,0.11926701046075423,validation_confusion_pair
validation,Albite,Dolomite,17,0.16764739406504295,validation_confusion_pair
validation,Orthoclase,Quartz,14,0.08028251196124551,validation_confusion_pair
validation,Calcite,Orthoclase,14,0.16295063200867793,validation_confusion_pair
validation,Dolomite,Quartz,6,0.11572014150195042,validation_confusion_pair
validation,Dolomite,Albite,4,0.021474151130843208,validation_confusion_pair
validation,Quartz,Chalcopyrite,1,0.08516624832972458,validation_confusion_pair
validation,Pyrite,Calcite,1,0.16231505598627632,validation_confusion_pair
validation,Quartz,Calcite,1,0.25400791805592904,validation_confusion_pair
validation,Orthoclase,Chalcopyrite,1,0.9106842281317152,validation_confusion_pair
validation,Dolomite,Chalcopyrite,1,0.9328236327237656,validation_confusion_pair
validation,Hematite,Galena,1,0.9999837647844646,validation_confusion_pair
validation,Magnetite,Galena,1,0.9999837647844646,validation_confusion_pair
